address,unripeBeans
0x511cc569c99A2769DE5d1a4C0B8387B41EAf9307,110179087
0x511d230d3c94CadED14281d949b4D35D8575CA12,2117753346
0x521415eEc0f5bec71704Aaaf9aE0aFe70323FfAB,6
0x5a57107A58A0447066C376b211059352B617c3BA,3248309
0x5e93941A8f3Aede7788188b6CB8092b6e57d02A6,2
0x6196c2e7149c134CFd53cf8D819895532189Ce1D,51800213
0x6301Add4fb128de9778B8651a2a9278B86761423,4155255000
0x66b19A1241FD54fE74dD8E40B7df8C419492e423,40342780188
0x6e47663a6467abA30BF4cfc3Bc659eEdf631db59,117259301
0x702aA86601aBc776bEA3A8241688085125D75AE2,113356771
0x711F800E64Ec8d2bd66d97E932B994Beef474d31,151898034550
0x71a15Ac12ee91BF7c83D08506f3a3588143898B5,2824253686
0x7A25275EAe1aAaF0D85B8D5955B6DbC727A27EaC,1411789284
0x7cC0ec6e5b074fB42114750C9748463C4ac6CD16,730358550
0x7F36BAC1BF73859bbEEBc5Fa46e78e4E7B39952C,169018081
0x7f5CCFb50D9087A572A80eC2585bdE8e0377625C,2412128254
0x7f7ecEeDE5F97179883Ef8F30eDF24C50AA5c597,216523587
0x80efF130ddE6223a10e6ab27e35ee9456b635cCD,1068681923
0x8168eb79738E9Fa034AB95B156047149277dc2f0,629448
0x829148aBa1177C4b6A6A3dbcA3E165FD34094e1b,7176050
0x8506B01FEC584cCaEACC7908D47725cf93E40680,5201001331
0x86FAd5a4C85EA88C3A8cC433fdCfDA326C35CA34,294849824
0x8a17484daFAEE8490F14BA0fb3FAC75CAeD80296,1731113707
0x8b3E26b83e8bb734Cd69cEC6CF1146d5a693c11F,85166412839
0x8eCb6912d43a0e096501dEb215FE553DB89966dE,14783280006
0x8Fe316B09c8F570Fd00F1172665d1327a2c74c7E,8938900
0x8fE8686b254E6685d38eaBdC88235d74bF0cbeaD,3171534884
0x925753106FCdB6D2f30C3db295328a0A1c5fD1D1,1443000000
0x94e179dEF45b2B377610eE915aC513BA17685151,3042808562
0x981793123af0E6126BEf8c8277Fdffec80eB13fd,1107800542
0x9C8623E1244fA3FB56Ed855aeAcCF97A4371FfE0,13818269164
0x9c88cD7743FBb32d07ED6DD064aC71c6C4E70753,50110615507
0x9d5BC1E20C131a175924e912e20255465337A223,45070474423
0x9ea987dda3F3e72cf8Ac7F4BCd7bfd69236A8057,14879121418
0x9f5F1f4dDbE827E531715Ee13C20A0C27451E3eE,17200000000
0x9F64674CAb93986254c6329C4521c4F9737Af864,412635026949
0xa06793Bbb366775C8A8f31f5cdBe4DD4F712410a,1
0xa156d4e61bBd20E1F45bb3f10264DA829C904647,5596891114
0xa720e16e2B197831805b3b3b0581220e943E9334,591533
0xab2b4e053Ceb42B50f39c4C172B79E86A5e217c3,29618643227
0xAbBf4737089AD6FF18c74A53BBe92C04A44d517b,31495122535
0xaCc53F19851ce116d52B730aeE8772F7Bd568821,98084910608
0xAE4b17De773a35c4fAe98A8Fa10751dD7A657b58,19232832
0xafF33b887aE8a2Ab0079D88EFC7a36eb61632716,2860227984
0xB25429a922a3389b3D02E5D9Fb533FD3A7E58cBF,11581088906
0xB4D12acf58C79C23Af491f2eF0039f1c57ABE277,80941786347
0xb7f6f6BCd3856032b2D9F6681bE4DCd1cbfF9823,95990447
0xBD39F80E400ed14A341DC2e6eC182EbBabF38662,176568446440
0xbeA2b910EE89eD59a160A60e75E3e1FF5047389C,35927795145
0xBF330a4028B0F2a01B336Df23Bc27DeFb4EddAD1,50718008
