address,stalk,seeds
0x347a5732541d3A8D935BeFC6553b7355b3e9C5ad,22404,4
0x34a649fde43cE36882091A010aAe2805A9FcFf0d,429626,88
0x350B75652059725c6E01F16198Da61BBeC33eD5f,6980,4
0x3635364e89EF6e842DD16a4028Df0A7124CA7A4A,810,2
0x36998Db3F9d958F0Ebaef7b0B6Bf11F3441b216F,1763360,356
0x36B9aB68D5999F060fE8db71e35c8b5201313178,1320452,260
0x36e5E80E7Fc5CE35A4e645B9A304109f684B5f4B,3092,2
0x372c757349a5A81d8CF805f4d9cc88e8778228e6,122832,24
0x374E518f85aB75c116905Fc69f7e0dC9f0E2350C,104502,18
0x37f8E3b0Dfc2A980Ec9CD2C233a054eAa99E9d8A,55720,12
0x3800645f556ee583E20D6491c3a60E9c32744376,102280,20
0x3849a135D541232af220Bb839Ee1cE7e2165ed7D,46472,8
0x388Bb4D6B0C8e09AFaaF84cDae8123778fadf28c,34770,6
0x38AE800E603F61a43f3B02f5E429b44E32e01D84,69468,12
0x394c357DB3177E33Bde63F259F0EB2c04A46827c,2093716,396
0x394fEAe00CdF5eCB59728421DD7052b7654833A3,22240,4
0x3A628c8Ff76fEDDCB377B94a794A4d9fA785E1a4,62592,12
0x3Bbb4F4eAfd32689DaA395d77c423438938C40bd,18514,4
0x3C087171AEBC50BE76A7C47cBB296928C32f5788,247176,76
0x3C4d21243F55f0Ee12F9ddDe1296d08529503311,480,6
0x3C7560edEeE5B60e4a6c7abEbaa971065B2242b4,74782,14
0x3CBC3bEd185B837D79Ba18d36A3859EcbcFC3Dc8,92304,16
0x3CC6Cc687870C972127E073E05b956A1eE270164,56524,10
0x3D138E67dFaC9a7AF69d2694470b0B6D37721B06,334026,78
0x3D156580d650cceDBA0157B1Fc13BB35e7a48542,22248,4
0x3D4FCd5E5FCB60Fca9dd4c5144aa970865325803,344734,74
0x3Df83869B8367602E762FC42Baae3E81aA1f2a20,69714,12
0x3E0fdEAB81bE617892472c457C3f69b846Fbf4C5,46128,8
0x3E4D97C22571C5Ff22f0DAaBDa2d3835E67738EB,69560,20
0x3F6BaBbF1a9DFB3039Dc932986D4A9658234fe21,87052,20
0x3FDbEeDCBfd67Cbc00FC169FCF557F77ea4ad4Ed,428670,80
0x3a7268413227Aed893057a8eB21299b36ec3477e,339700,60
0x3aB1a190713Efdc091450aF618B8c1398281373E,147810,40
0x3bD12E6C72B92C43BD1D2ACD65F8De2E0E335133,763696,176
0x3c5Aac016EF2F178e8699D6208796A2D67557fe2,115236,24
0x3d7cdE7EA3da7fDd724482f11174CbC0b389BD8b,837224,144
0x3dD413Fd4D03b1d8fD2C9Ed34553F7DeC3B26F5C,19456,4
0x3dc9c874fa91AB41DfA7A6b80aa02676E931aa9F,1845684,338
0x3efcb1c1B64E2ddd3ff1CAB28aD4E5BA9CC90C1c,723924,138
0x3f75F2AE3aE7dA0Fb7fF0571a99172926C3Bdac2,111060,24
0x3f9d48594FB58700cd6bF82BD010e25f61C7d8C9,288766,50
0x4062Ec809b341660262CE22dAB11E4Bc5cECd622,986476,180
0x40C5A7b9dAD9463CCf0cbaFEa05CEdA768962947,294084,56
0x40E652fE0EC7329DC80282a6dB8f03253046eFde,156480,36
0x4135DEb17102AeeDa09F5748186a1aa5060b3bbb,110736,22
0x4179FB53E818c228803cF30d88Bc0597189F141C,473302,98
0x4180c6aFeEd0290E87cE848FC48451027798958C,92992,16
0x41BF3C5167494cbCa4C08122237C1620A78267Ab,501962,100
0x41CC24B4E568715f33fE803a6C3419708205304d,93098,22
0x41DD131e460E18befD262cF4Fe2e2b2F43F6Fb7B,5698948,1228
0x41EfF4e547090fBD310099Fe13d18069C65dfe61,15576,4
0x433b1b3bc573FcD6fDDDCf9A72CE377dB7A38bb5,277558,54
0x434252f52cE25DA0e64f0C38EBC65258AABB2844,285616,50
0x4389338CEaA410098b6bb9aD2cdd5E5e8687fBF7,80156,20
0x43b79f1E529330F1568e8741F1C04107db25EB28,10640,6
0x4432e64624F4c64633466655de3D5132ad407343,237186,50
